0,1
0,-9.240866666666648
1,-13.139933333333317
2,-12.790133333333301
3,-17.06966666666665
4,-20.548166666666617
5,-28.151433333333273
6,-14.992700000000013
7,-6.8197999999999865
8,-5.274933333333308
9,-7.0581666666666365
10,-2.710333333333324
11,-1.2494333333333145
12,0.45596666666668284
13,1.5121333333333382
14,2.263433333333353
15,4.3631666666667
16,10.019833333333366
17,19.800600000000003
18,26.23303333333334
19,33.92830000000001
20,34.545966666666686
21,22.629866666666686
22,6.929033333333365
23,-0.903366666666642
